module,condition,rho,lo,hi,n,indicator
STAT0002,online,0.274337446658949,0.16712593082835253,0.3751369305771222,342,Frequency
STAT0002,in_person,0.3840254854852915,0.2700386750569485,0.4873968539929586,267,Frequency
STAT0004,online,0.24463738034927424,0.1307573099743049,0.35214590072460233,312,Frequency
STAT0004,in_person,0.1651845311896605,0.017547233838218396,0.30577233517428914,197,Frequency
STAT0002,online,0.23065723561919868,0.12144143411264888,0.33435487516150453,342,Immediacy
STAT0002,in_person,0.38561423036265313,0.2717667254099758,0.48881745396963294,267,Immediacy
STAT0004,online,0.27665766749753834,0.16436394831214188,0.38187216644162075,312,Immediacy
STAT0004,in_person,0.17029842841797296,0.02280704651587874,0.31053461927627823,197,Immediacy
STAT0002,online,0.29798762998109735,0.19205493065865567,0.3970562976938957,342,Diversity
STAT0002,in_person,0.4140032730035888,0.3027692603671171,0.5141100047274298,267,Diversity
STAT0004,online,0.31940709588920335,0.20964134033360135,0.42122245997730984,312,Diversity
STAT0004,in_person,0.21502776309157787,0.06916334066312543,0.3518906012249389,197,Diversity
STAT0002,online,0.27584400737542153,0.16870987694541953,0.37653660482033346,342,IDF
STAT0002,in_person,0.40924428859614254,0.2975556887902358,0.509882210579785,267,IDF
STAT0004,online,0.29775243779667243,0.18664716269907625,0.40133742085167684,312,IDF
STAT0004,in_person,0.1943791080767068,0.04768506047969264,0.33286537286145373,197,IDF
